property_id,borough,property_type,level,area_m2,rooms,bathrooms,parking_spots,elevator,balcony,property_condition,estimated_rehab_cost_pct,near_main_avenue,near_metro,price,zone_avg_price_m2,price_m2,relative_price_index,price_bucket,listing_date,sold_date,days_on_market,price_drop_count,final_discount_pct,status
1,Coyoacán,apartment,PB,137,1,1,1,0,0,good,0.0446992603851086,1,1,6090739.441967845,42819.33075614358,44457.95213115215,1.038268262162726,"(5000000.0, 8000000.0]",2025-01-15,2025-01-22,7,0,0.0,sold
2,Iztapalapa,apartment,2,116,3,2,1,1,0,poor,0.2165632033074559,0,1,3610234.765029792,33544.809536097615,31122.713491636136,0.9277952065324724,"(3000000.0, 5000000.0]",2025-06-21,2025-07-13,22,0,0.0,sold
3,Álvaro Obregón,apartment,1,135,2,2,1,0,1,good,0.0568749694009246,0,1,6161791.51842474,43674.58461116325,45642.90013647956,1.0450677560608832,"(5000000.0, 8000000.0]",2025-03-23,2025-04-02,10,0,0.0,sold
5,Miguel Hidalgo,apartment,1,61,4,4,0,1,1,good,0.0,0,1,3287588.7007903787,55971.75588853134,53894.89673426851,0.9628945148978544,"(3000000.0, 5000000.0]",2025-03-31,2025-04-30,30,0,0.0284265155874314,sold
6,Miguel Hidalgo,apartment,2,131,2,3,1,0,1,good,0.0477913973215881,1,0,6039126.037542467,55949.29747034916,46100.19875986616,0.8239638537784568,"(5000000.0, 8000000.0]",2025-05-14,2025-06-01,18,0,0.0,sold
7,Coyoacán,apartment,1,84,4,4,0,1,1,renovated,0.0096965994271796,0,0,4013540.560614851,45008.10163383593,47780.24476922442,1.0615920919736028,"(3000000.0, 5000000.0]",2025-06-09,2025-07-07,28,0,0.0067316416869172,sold
8,Benito Juárez,apartment,1,106,2,3,2,1,0,good,0.0311458585694644,0,0,5507469.319995177,55805.91877921221,51957.25773580356,0.931034895086392,"(5000000.0, 8000000.0]",2025-06-21,2025-07-04,13,0,0.0,sold
9,Miguel Hidalgo,apartment,2,71,3,3,1,0,1,good,0.0471025744736912,0,0,5069005.186783244,65485.5495096721,71394.43925046822,1.090231963922413,"(5000000.0, 8000000.0]",2025-04-06,2025-04-14,8,0,0.0,sold
10,Coyoacán,apartment,2,87,2,2,2,0,1,good,0.0406654356508405,1,0,4605039.303737456,47257.79678527066,52931.48624985581,1.1200582729314523,"(3000000.0, 5000000.0]",2025-01-09,2025-01-24,15,0,0.0,sold
11,Benito Juárez,apartment,3,57,4,4,2,1,1,renovated,0.0061072772068878,1,0,2931624.950236566,57405.49074734026,51432.01667081695,0.8959424612740536,"(0.0, 3000000.0]",2025-06-18,2025-06-25,7,0,0.0,sold
12,Coyoacán,apartment,1,87,1,1,0,1,0,good,0.0435948339024217,1,0,4244327.794062056,43980.051979552445,48785.376943242016,1.10926146621936,"(3000000.0, 5000000.0]",2025-04-07,2025-05-11,34,0,0.014003136307787,sold
13,Coyoacán,apartment,PB,115,2,2,1,0,0,renovated,0.0110552993367097,0,1,6045755.784214312,50196.453388785696,52571.78942795054,1.0473207941757796,"(5000000.0, 8000000.0]",2025-04-26,2025-05-12,16,0,0.0,sold
14,Álvaro Obregón,apartment,1,139,2,2,1,1,1,fair,0.0815188068777698,0,0,6945677.125088903,45182.2673192946,49968.90018049571,1.105940519261127,"(5000000.0, 8000000.0]",2025-02-08,2025-03-12,32,0,0.0283564398764047,sold
