property_id,borough,property_type,level,area_m2,rooms,bathrooms,parking_spots,elevator,balcony,property_condition,estimated_rehab_cost_pct,near_main_avenue,near_metro,price,zone_avg_price_m2,price_m2,relative_price_index,price_bucket,listing_date,sold_date,days_on_market,price_drop_count,final_discount_pct,status
1,Coyoacán,apartment,PB,137,1.0,1,1.0,0.0,0.0,good,0.04469926038510866,1.0,1.0,6090739.441967845,42819.33075614358,44457.95213115215,1.038268262162726,"(5000000.0, 8000000.0]",2025-01-15,2025-01-22,7,0.0,0.0,sold
2,Iztapalapa,apartment,2,116,3.0,2,1.0,1.0,0.0,poor,0.21656320330745593,0.0,1.0,3610234.7650297917,33544.809536097615,31122.713491636136,0.9277952065324724,"(3000000.0, 5000000.0]",2025-06-21,2025-07-13,22,0.0,0.0,sold
3,Álvaro Obregón,apartment,1,135,2.0,2,1.0,0.0,1.0,good,0.056874969400924666,,1.0,6161791.51842474,43674.58461116325,45642.900136479555,1.0450677560608832,"(5000000.0, 8000000.0]",2025-03-23,2025-04-02,10,0.0,0.0,sold
4,Álvaro Obregón,apartment,PB,78,,2,1.0,0.0,0.0,renovated,,1.0,1.0,3394390.522696272,39300.14083126721,43517.82721405477,1.1073198796130514,"(3000000.0, 5000000.0]",2025-01-05,2025-01-23,18,0.0,0.0,sold
5,Miguel Hidalgo,apartment,1,61,4.0,4,0.0,1.0,1.0,good,,0.0,1.0,3287588.7007903787,55971.75588853134,53894.89673426851,0.9628945148978543,"(3000000.0, 5000000.0]",2025-03-31,2025-04-30,30,0.0,0.028426515587431495,sold
6,Miguel Hidalgo,apartment,2,131,2.0,3,1.0,0.0,1.0,good,0.04779139732158818,1.0,0.0,6039126.037542467,55949.297470349156,46100.19875986616,0.8239638537784568,"(5000000.0, 8000000.0]",2025-05-14,2025-06-01,18,0.0,0.0,sold
7,Coyoacán,apartment,1,84,4.0,4,0.0,1.0,1.0,renovated,0.009696599427179665,0.0,0.0,4013540.560614851,45008.10163383593,47780.24476922442,1.0615920919736028,"(3000000.0, 5000000.0]",2025-06-09,2025-07-07,28,0.0,0.006731641686917223,sold
8,Benito Juárez,apartment,1,106,2.0,3,2.0,1.0,0.0,good,0.031145858569464457,0.0,,5507469.319995177,55805.91877921221,51957.257735803556,0.931034895086392,"(5000000.0, 8000000.0]",2025-06-21,2025-07-04,13,0.0,0.0,sold
9,Miguel Hidalgo,apartment,2,71,3.0,3,1.0,0.0,1.0,good,0.04710257447369129,0.0,0.0,5069005.186783244,65485.5495096721,71394.43925046822,1.090231963922413,"(5000000.0, 8000000.0]",2025-04-06,2025-04-14,8,0.0,0.0,sold
10,Coyoacán,apartment,2,87,2.0,2,2.0,,1.0,good,0.04066543565084057,1.0,0.0,4605039.303737456,47257.796785270664,52931.486249855814,1.1200582729314525,"(3000000.0, 5000000.0]",2025-01-09,2025-01-24,15,0.0,0.0,sold
11,Benito Juárez,apartment,3,57,4.0,4,2.0,1.0,1.0,renovated,0.006107277206887869,1.0,0.0,2931624.950236566,57405.49074734026,51432.01667081695,0.8959424612740536,"(0.0, 3000000.0]",2025-06-18,2025-06-25,7,0.0,0.0,sold
12,Coyoacán,apartment,1,87,1.0,1,0.0,1.0,,good,0.04359483390242175,1.0,,4244327.794062056,43980.051979552445,48785.376943242016,1.10926146621936,"(3000000.0, 5000000.0]",2025-04-07,2025-05-11,34,0.0,0.014003136307787028,sold
13,Coyoacán,apartment,PB,115,2.0,2,1.0,0.0,0.0,renovated,0.011055299336709798,0.0,1.0,6045755.784214312,50196.453388785696,52571.78942795054,1.0473207941757796,"(5000000.0, 8000000.0]",2025-04-26,2025-05-12,16,0.0,0.0,sold
14,Álvaro Obregón,apartment,1,139,2.0,2,1.0,1.0,1.0,fair,0.08151880687776983,0.0,0.0,6945677.125088903,45182.2673192946,49968.90018049571,1.1059405192611267,"(5000000.0, 8000000.0]",2025-02-08,2025-03-12,32,0.0,0.028356439876404745,sold
15,Álvaro Obregón,apartment,1,104,4.0,4,1.0,1.0,1.0,renovated,0.01156560281992348,,1.0,3530865.64071737,42599.00385015656,33950.63116074394,0.7969818092499636,"(3000000.0, 5000000.0]",2025-03-04,2025-03-18,14,0.0,0.0,sold
16,Iztapalapa,apartment,3,76,3.0,2,0.0,0.0,,fair,0.06512084789962608,1.0,0.0,2926902.0675402605,30631.263380863835,38511.86930974027,1.2572732907190391,"(0.0, 3000000.0]",2025-05-04,2025-06-11,38,1.0,0.039034083178501384,sold
17,Miguel Hidalgo,apartment,PB,117,2.0,2,1.0,0.0,0.0,poor,0.21152137276264804,1.0,,7034666.016688968,65030.49477117577,60125.350569991184,0.9245716303029152,"(5000000.0, 8000000.0]",2025-03-10,2025-03-26,16,0.0,0.0,sold
18,Iztapalapa,apartment,PB,121,2.0,2,1.0,0.0,0.0,poor,,0.0,1.0,3857616.4318581214,37746.704911387045,31881.12753601753,0.8446069030624168,"(3000000.0, 5000000.0]",2025-04-11,2025-04-25,14,0.0,0.0,sold
19,Miguel Hidalgo,apartment,1,88,2.0,1,2.0,1.0,1.0,good,0.05203797178729598,1.0,1.0,6873710.820416925,67406.7247289236,78110.3502320105,1.1587916568581484,"(5000000.0, 8000000.0]",2025-01-12,2025-02-09,28,1.0,0.03282557902975822,sold
20,Cuauhtémoc,apartment,PB,119,4.0,4,0.0,0.0,0.0,poor,0.1271188648460229,0.0,1.0,5619555.1577862445,50817.13176800532,47223.15258643903,0.9292762291666946,"(5000000.0, 8000000.0]",2025-03-16,2025-04-25,40,0.0,0.027869486614566025,sold
21,Álvaro Obregón,apartment,4+,90,2.0,2,2.0,1.0,1.0,good,0.050034842711659894,0.0,1.0,3776728.5390658868,44675.716920551255,41963.65043406541,0.9392943936118847,"(3000000.0, 5000000.0]",2025-03-27,2025-04-16,20,0.0,0.0,sold
22,Álvaro Obregón,apartment,3,113,1.0,1,2.0,,1.0,fair,0.06550224883550887,1.0,1.0,4884145.370953076,45075.613829877926,43222.52540666438,0.9588893358123225,"(3000000.0, 5000000.0]",2025-02-11,2025-02-26,15,0.0,0.0,sold
23,Miguel Hidalgo,apartment,4+,59,3.0,3,1.0,1.0,1.0,good,0.05567587635107106,1.0,0.0,3272065.091032754,60363.86187932989,55458.73035648736,0.9187405946185466,"(3000000.0, 5000000.0]",2025-05-16,2025-05-24,8,0.0,0.0,sold
24,Álvaro Obregón,apartment,2,119,4.0,4,,1.0,0.0,fair,0.07981515174114591,0.0,1.0,6322463.480052715,45284.4324512786,53129.94521052702,1.1732496651622915,"(5000000.0, 8000000.0]",2025-05-07,2025-05-30,23,1.0,0.03068779412434287,sold
25,Benito Juárez,apartment,1,116,2.0,2,0.0,1.0,1.0,good,0.05676462861114637,1.0,0.0,7312930.596185878,55495.112022598245,63042.50513953343,1.1360010430082887,"(5000000.0, 8000000.0]",2025-05-23,2025-06-24,32,0.0,0.008672364263459648,sold
26,Benito Juárez,apartment,1,108,3.0,4,0.0,1.0,0.0,renovated,0.011673122237017441,1.0,0.0,4402176.824207926,52903.578948035145,40760.89652044376,0.7704752179522939,"(3000000.0, 5000000.0]",2025-06-06,2025-06-22,16,0.0,0.0,sold
27,Álvaro Obregón,apartment,1,110,4.0,4,0.0,1.0,1.0,renovated,0.0012702365918000268,0.0,1.0,5400173.04558514,40247.16045472569,49092.48223259218,1.2197750519025226,"(5000000.0, 8000000.0]",2025-01-23,2025-03-01,37,1.0,0.03652663009030571,sold
28,Álvaro Obregón,apartment,1,107,4.0,4,0.0,1.0,,poor,0.18181282404578958,0.0,1.0,6584634.346788354,51881.50658343395,61538.638755031345,1.1861382370627027,"(5000000.0, 8000000.0]",2025-02-23,2025-04-19,55,2.0,0.09113089001911241,sold
29,Coyoacán,apartment,2,111,3.0,3,1.0,1.0,1.0,good,0.04219262434168902,,1.0,5757970.501538698,50859.94022303582,51873.60812197025,1.0199305759009782,"(5000000.0, 8000000.0]",2025-03-20,2025-04-05,16,,0.0,sold
30,Coyoacán,apartment,PB,84,3.0,4,2.0,0.0,0.0,renovated,0.012668017086334516,0.0,1.0,4424565.979046934,53461.93364629146,52673.40451246351,0.9852506432138253,"(3000000.0, 5000000.0]",2025-05-31,2025-06-14,14,0.0,0.0,sold
31,Cuauhtémoc,apartment,2,58,2.0,3,1.0,0.0,0.0,fair,0.06532215202542334,0.0,0.0,2648380.1249036766,51466.392984387385,45661.7262914427,0.8872144256407173,"(0.0, 3000000.0]",2025-03-14,2025-04-14,31,0.0,0.02761579314517461,sold
32,Miguel Hidalgo,apartment,4+,101,3.0,2,2.0,1.0,1.0,poor,0.14093493233367102,1.0,0.0,5067321.469049782,54250.186115573524,50171.4996935622,0.9248170980773748,"(5000000.0, 8000000.0]",2025-04-19,2025-04-26,7,,0.0,sold
33,Miguel Hidalgo,apartment,1,72,2.0,2,0.0,0.0,0.0,fair,0.1134316368443937,0.0,0.0,4688052.459770964,62767.473422667674,65111.83971904118,1.0373500185452242,"(3000000.0, 5000000.0]",2025-02-03,2025-03-09,34,0.0,0.021484261672741912,sold
34,Benito Juárez,apartment,2,137,2.0,2,2.0,1.0,0.0,fair,0.08192140918044345,1.0,0.0,8133777.922222933,58156.567617782515,59370.641768050606,1.0208759595003483,"(8000000.0, 20000000.0]",2025-03-16,2025-04-03,18,0.0,0.0,sold
35,Coyoacán,apartment,1,116,4.0,4,1.0,0.0,,renovated,,1.0,1.0,6179232.53988949,53749.81873296251,53269.246033530086,0.9910590824162593,"(5000000.0, 8000000.0]",2025-04-10,2025-04-20,10,0.0,0.0,sold
36,Álvaro Obregón,apartment,PB,57,1.0,1,0.0,0.0,0.0,renovated,0.009431523771003168,1.0,0.0,2063388.9134568835,45963.87359653174,36199.80549924357,0.7875708173989729,"(0.0, 3000000.0]",2025-02-18,2025-02-28,10,0.0,0.0,sold
37,Álvaro Obregón,apartment,2,63,2.0,2,2.0,1.0,1.0,poor,0.20251326766927974,1.0,1.0,2707599.205112283,46336.12514413671,42977.765160512434,0.9275217775941017,"(0.0, 3000000.0]",2025-02-11,2025-02-24,13,0.0,0.0,sold
38,Benito Juárez,apartment,1,72,,3,1.0,1.0,1.0,fair,0.09261317166683931,0.0,1.0,3229525.477091437,54529.75378746827,44854.52051515885,0.8225696505064191,"(3000000.0, 5000000.0]",2025-01-15,2025-02-03,19,0.0,0.0,sold
39,Álvaro Obregón,apartment,PB,81,3.0,2,1.0,0.0,0.0,good,0.052850292186880504,1.0,1.0,4126347.4773254064,51140.96949361567,50942.561448461805,0.9961203698889863,"(3000000.0, 5000000.0]",2025-01-05,2025-01-25,20,0.0,0.0,sold
40,Álvaro Obregón,apartment,2,101,2.0,2,0.0,1.0,1.0,good,0.03694387449681931,1.0,1.0,4784098.846154225,43399.30479031569,47367.31530845768,1.09143027837228,"(3000000.0, 5000000.0]",2025-04-21,2025-05-27,36,0.0,0.00403178412063546,sold
41,Coyoacán,apartment,2,122,3.0,2,1.0,0.0,0.0,fair,0.06736864691074403,0.0,1.0,5463306.265756781,43708.02589918738,44781.198899645744,1.0245532251429896,"(5000000.0, 8000000.0]",2025-01-01,2025-01-17,16,0.0,0.0,sold
42,Iztapalapa,apartment,2,109,2.0,2,1.0,1.0,1.0,fair,0.11537761390790909,0.0,0.0,3444805.751625083,31003.42222917762,31603.722491973236,1.0193623871054682,"(3000000.0, 5000000.0]",2025-06-01,2025-07-10,39,0.0,0.03650997851516515,sold
43,Benito Juárez,apartment,PB,87,2.0,2,1.0,0.0,0.0,good,0.059874970073837894,1.0,,3524826.576587926,40780.95156536306,40515.24800675777,0.9934846160178626,"(3000000.0, 5000000.0]",2025-06-28,2025-07-10,12,0.0,0.0,sold
44,Cuauhtémoc,apartment,PB,110,4.0,4,0.0,0.0,1.0,good,0.037630509877529125,0.0,1.0,4779235.699037748,50597.146253889914,43447.59726397953,0.8586965961670076,"(3000000.0, 5000000.0]",2025-05-09,2025-05-24,15,0.0,0.0,sold
45,Álvaro Obregón,apartment,PB,64,2.0,2,1.0,0.0,1.0,fair,0.07386448779528428,1.0,0.0,2841156.023063343,45395.037501076054,44393.062860364735,0.9779276613509226,"(0.0, 3000000.0]",2025-03-08,2025-03-23,15,0.0,0.0,sold
46,Cuauhtémoc,apartment,3,62,1.0,1,1.0,1.0,,renovated,0.004157725102920546,0.0,0.0,2452993.7446578294,49478.619416051166,39564.4152364166,0.799626499351792,"(0.0, 3000000.0]",2025-01-02,2025-01-24,22,0.0,0.0,sold
47,Benito Juárez,apartment,1,56,2.0,1,2.0,1.0,1.0,renovated,0.019707346244834695,0.0,1.0,3141463.239114981,49825.472234640794,56097.557841338945,1.1258811071004267,"(3000000.0, 5000000.0]",2025-04-24,2025-05-03,9,0.0,0.0,sold
48,Cuauhtémoc,apartment,1,135,2.0,2,1.0,1.0,1.0,poor,0.1472307326519369,1.0,0.0,5377272.972791073,49514.213442062646,39831.651650304244,0.8044488416828408,"(5000000.0, 8000000.0]",2025-05-02,2025-06-09,38,0.0,0.02605681553407457,sold
49,Coyoacán,apartment,3,66,3.0,3,1.0,1.0,0.0,good,0.05083943702141913,0.0,1.0,3538825.62121415,47962.67180102017,53618.57001839621,1.1179229180734618,"(3000000.0, 5000000.0]",2025-06-13,2025-06-27,14,0.0,0.0,sold
50,Benito Juárez,apartment,2,113,2.0,2,1.0,1.0,0.0,renovated,0.011936856978337785,0.0,0.0,7332328.79443632,57023.583428989885,64887.865437489556,1.137912799154281,"(5000000.0, 8000000.0]",2025-01-17,2025-02-16,30,0.0,0.0030055112694323503,sold
